HKQuantityTypeIdentifierStairAscentSpeed
type,sourceName,sourceVersion,unit,creationDate,startDate,endDate,value
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-03 22:24:07 +0200,2021-12-03 22:23:35 +0200,2021-12-03 22:23:39 +0200,0.343739,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-08 10:28:42 +0200,2021-12-08 10:28:13 +0200,2021-12-08 10:28:17 +0200,0.276706,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-08 11:01:56 +0200,2021-12-08 11:01:11 +0200,2021-12-08 11:01:21 +0200,0.224147,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-14 12:07:08 +0200,2021-12-14 12:06:33 +0200,2021-12-14 12:06:41 +0200,0.335087,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-15 21:09:23 +0200,2021-12-15 21:07:33 +0200,2021-12-15 21:07:39 +0200,0.22899,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-15 21:27:52 +0200,2021-12-15 21:27:14 +0200,2021-12-15 21:27:17 +0200,0.325303,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-17 14:53:18 +0200,2021-12-17 14:51:56 +0200,2021-12-17 14:52:07 +0200,0.392903,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-17 14:53:28 +0200,2021-12-17 14:52:42 +0200,2021-12-17 14:52:58 +0200,0.255678,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-19 10:48:31 +0200,2021-12-19 10:47:51 +0200,2021-12-19 10:48:00 +0200,0.265297,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-19 10:54:50 +0200,2021-12-19 10:53:50 +0200,2021-12-19 10:53:56 +0200,0.311394,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-19 10:54:50 +0200,2021-12-19 10:53:56 +0200,2021-12-19 10:54:00 +0200,0.237636,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-20 20:34:13 +0200,2021-12-20 20:33:13 +0200,2021-12-20 20:33:20 +0200,0.291659,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-21 13:56:56 +0200,2021-12-21 13:56:27 +0200,2021-12-21 13:56:31 +0200,0.368582,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-22 16:28:35 +0200,2021-12-22 16:27:54 +0200,2021-12-22 16:28:05 +0200,0.23379,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-22 16:28:53 +0200,2021-12-22 16:28:09 +0200,2021-12-22 16:28:20 +0200,0.260722,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-22 19:04:19 +0200,2021-12-22 19:01:48 +0200,2021-12-22 19:01:55 +0200,0.306576,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-12-22 22:50:08 +0200,2021-12-22 22:49:06 +0200,2021-12-22 22:49:10 +0200,0.513213,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-01-31 11:09:31 +0200,2022-01-31 11:08:50 +0200,2022-01-31 11:09:10 +0200,0.257715,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-01-31 16:52:50 +0200,2022-01-31 16:51:50 +0200,2022-01-31 16:51:57 +0200,0.302818,
